OBJECTID,ARTWORK_NAME,ARTIST,MEDIUM,LOCATION_DETAIL,ADDRESS,WARD,LATITUDE,LONGITUDE,PIC_URL,THUMB_URL
5450,Southern Nevada Law Enforcement Memorial 2009,Adolfo Gonzalez,Steel and neon sculpture,Police Memorial Park,3230 Metro Academy Way,Ward 4 (CLV Collection),36.2216482075,-115.309796954,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/SouthernNevadaLawEnforcementMemorial.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/SouthernNevadaLawEnforcementMemorial.jpg
5466,Stop n Glow Bus Stop Shelter 2010,Brian Porray,Bus stop shelter artwork on acrylic wind-screen panels for the Downtown Rapid Transit Stations,Grand Central and W Bonneville,Project completed in collaboration with the RTC and Clark County Cultural Affairs,Ward 5,36.1706559847,-115.153378213,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/StopandGlowBrianPorray.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/StopandGlowBrianPorray.jpg
5449,Ancestral Gateway 2008,Adolfo Gonzalez Harold Bradford Dayo Adelaja  Collier Sylvester and Denise Duarte,Steel sculpture and concrete sidewalk pavers with resin insets,Front entrance of the Doolittle Senior Center,947 W Lake Mead BLVD,Ward 5 (CLV Collection),36.1940053736,-115.153622122,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/AncestralGateway.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/AncestralGateway.jpg
5470,Ancestral Gateway and Stepping Stones 2008,Denise Duarte,Cast ceramic wall sculptures,Classroom Hallway,Doolittle Senior Center 947 W Lake Mead  BLVD,Ward 5 (CLV Collection),36.1933849495,-115.155329544,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/AncestralGatewaySteppingStones.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/AncestralGatewaySteppingStones.jpg
5471,Doolittle Park Mural 2001,Todd Anderson and Kevin Buckner,Painted outdoor mural,Doolittle Park Restroom,947 W Lake Mead  BLVD,Ward 5 (CLV Collection),36.1950089822,-115.155531517,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/DoolittleParkMural.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/DoolittleParkMural.jpg
5434,Fire Hose Art 1997 ,John Banks,Rolled steel fire hose couplings,Fire Station #3,2645 W Washington Ave,Ward 5 (CLV Collection),36.1808856739,-115.176860424,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/FireHoseArt.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/FireHoseArt.jpg
5427,Flourish 2011,Denise Duarte,Sidewalk art made from resin adhesive,Located on the sidewalks along the Cultural Corridor Trail,N Casino Center and Stewart east along Bonanza and Las Vegas Boulevard between Bonanza and Washington,Ward 5 (CLV Collection),36.1795315486,-115.134570095,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/CulturalCorridorSideWalkArt.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/CulturalCorridorSideWalkArt.jpg
5456,Flourish 2011,Denise Duarte,Sidewalk art made from resin adhesive,Located on the sidewalks along the Cultural Corridor Trail,N Casino Center and Stewart east along Bonanza and Las Vegas Boulevard between Bonanza and Washington,Ward 5 (CLV Collection),36.180697444,-115.13293177,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/CulturalCorridorSideWalkArt1.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/CulturalCorridorSideWalkArt1.jpg
5438,Nephele 2013,Cyd Bown,Sculpture of fabric thread and steel,City of Las Vegas Development Services Center Lobby,333 N Rancho Drive,Ward 5 (CLV Collection),36.1762075463,-115.175792655,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Nephele.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Nephele.jpg
5435,Old Westside School Tile Mural 1997,Fox Tile Studio,Glazed ceramic tiles,South facing wall of the Historic Westside School,330 W  Washington Ave,Ward 5 (CLV Collection),36.1814753201,-115.146283069,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/UntitledOldWestSchool.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/UntitledOldWestSchool.JPG
5472,Rain Forest Mural 1993,Jose Belver,Painted outdoor mural,Fire Station #3,2645 E Washington Ave,Ward 5 (CLV Collection),36.1807237944,-115.177105596,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/RainForestMural.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/RainForestMural.jpg
5437,Tribute to Lubertha Johnson 2000,Harold Bradford Idika Nsofor John Welsh and Stephanie Perrone,Painted mural benches and printed banners,Lubertha Johnson Park,2201 Concord Street,Ward 5 (CLV Collection),36.1993520648,-115.156289463,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TributeToLuberthaJohnson.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TributeToLuberthaJohnson.jpg
5462,Vegas Arabesque 2011,David Griggs,Illuminated pedestrian bridge gateway,Spans Las Vegas Blvd between the Natural History Museum and the Las Vegas Library,888 Las Vegas BLVD,Ward 5 (CLV Collection),36.1791647443,-115.134817394,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Bridge.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Bridge.jpg
5469,Markers 2008,Darius Kuzmickas,Photographic images laminated into glass,Main lobby Centennial Hills Community Center YMCA,6601 N Buffalo  Drive,Ward 6 (CLV Collection),36.2823928772,-115.262933029,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Markers.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Markers.jpg
5448,Polly Gonzales Tile Mural 2006,Various Elementary and Middle Schools,Hand painted ceramic tiles,Polly Gonzales Park restroom building,5425 Corbett Street,Ward 6 (CLV Collection),36.2656124295,-115.218602432,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PollyGonzalesMural.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PollyGonzalesMural.JPG
